DATE,WLEMUINDXD
11/4/2011,10.11
12/4/2011,7.72
13/4/2011,34.24
14/4/2011,137.38
15/4/2011,18.42
16/4/2011,214.03
17/4/2011,41.28
18/4/2011,29.53
19/4/2011,23.18
20/4/2011,11.83
21/4/2011,129.68
22/4/2011,36.91
23/4/2011,60.51
24/4/2011,33.22
25/4/2011,10.36
26/4/2011,30.6
27/4/2011,17.79
28/4/2011,9.77
29/4/2011,12.17
30/4/2011,104.46
1/5/2011,87.81
2/5/2011,10.05
3/5/2011,7.54
4/5/2011,17.17
5/5/2011,120.83
6/5/2011,12.21
7/5/2011,106.73
8/5/2011,88.66
9/5/2011,10.14
10/5/2011,7.67
11/5/2011,46.94
12/5/2011,4.96
13/5/2011,24.29
14/5/2011,105.1
15/5/2011,8.08
16/5/2011,30.41
17/5/2011,45.98
18/5/2011,35.84
19/5/2011,30.12
20/5/2011,37.24
21/5/2011,57.48
22/5/2011,48.87
23/5/2011,29.91
24/5/2011,30.28
25/5/2011,24.22
26/5/2011,15.22
27/5/2011,6.36
28/5/2011,30.81
29/5/2011,8.52
30/5/2011,15.01
31/5/2011,18.75
1/6/2011,31.19
2/6/2011,52.63
3/6/2011,58.21
4/6/2011,61.66
5/6/2011,67.02
6/6/2011,10.41
7/6/2011,32.67
8/6/2011,12.32
9/6/2011,144.67
10/6/2011,26.23
11/6/2011,114.4
12/6/2011,42.59
13/6/2011,44.2
14/6/2011,73.63
15/6/2011,81.82
16/6/2011,48.04
17/6/2011,13.24
18/6/2011,31.78
19/6/2011,84.6
20/6/2011,43.21
21/6/2011,8.38
22/6/2011,51.7
